tweet_id retweet_count favorite_count
877201837425926144 4813 24492
876838120628539392 2893 18702
876537666061221889 4091 21542
876484053909872640 2061 16997
876120275196170240 4035 25339
875747767867523072 3714 22753
875144289856114688 4263 19869
875097192612077568 5292 24883
875021211251597312 4106 23124
874680097055178752 4042 25223
874434818259525634 12629 0
874296783580663808 3605 23624
874057562936811520 3481 20645
874012996292530176 8875 30946
873580283840344065 3429 21993
873337748698140672 1377 0
873213775632977920 1377 6493
872967104147763200 4709 24703
872820683541237760 3249 13403
872620804844003328 3172 18833
872486979161796608 7956 37045
872122724285648897 7079 31071
871879754684805121 9548 34034
871762521631449091 3059 18375
871515927908634625 3036 18350
871166179821445120 5020 0
871102520638267392 4838 19038
871032628920680449 3334 20688
870804317367881728 5429 30604
870726314365509632 3 109
870656317836468226 2274 11176
870374049280663552 23468 75938
870308999962521604 3647 19977
870063196459192321 7295 33249
869772420881756160 8946 38924
869702957897576449 5540 25710
869596645499047938 2725 14581
869227993411051520 3308 18625
868880397819494401 12668 59577
868639477480148993 1811 0
868622495443632128 4638 24267
868552278524837888 1811 9217
867900495410671616 3689 22142
867774946302451713 6450 31029
867421006826221569 2193 14706
867072653475098625 106 0
867051520902168576 6992 29449
866720684873056260 4254 18292
866686824827068416 3055 17587
866450705531457537 31251 111764
866334964761202691 12629 47862
866094527597207552 7405 0
865718153858494464 5002 23574
865359393868664832 4436 24240
865006731092295680 6869 25712
864873206498414592 7723 29556
864279568663928832 2674 13412
864197398364647424 7831 27414
863907417377173506 3699 18945
863553081350529029 3746 14017
863471782782697472 2149 0
863432100342583297 4692 21910
863427515083354112 83 2012
863079547188785154 990 8085
863062471531167744 2149 7730
862831371563274240 4597 17638
862722525377298433 3186 15748
862457590147678208 4388 18769
862096992088072192 20664 68156
861383897657036800 9593 33189
861288531465048066 3707 15795
861005113778896900 3433 15398
860981674716409858 1915 0
860924035999428608 702 0
860563773140209665 1915 6904
860524505164394496 4755 21839
860276583193509888 3161 17037
860184849394610176 5270 15383
860177593139703809 27708 0
859924526012018688 3694 18138
859851578198683649 3176 14311
859607811541651456 1400 17249
859196978902773760 27160 82887
859074603037188101 12330 31248
858860390427611136 7327 0
858843525470990336 3129 14492
858471635011153920 4405 20025
858107933456039936 2615 14625
857989990357356544 2335 14899
857746408056729600 9638 31688
857393404942143489 1484 5463
857263160327368704 4102 18680
857214891891077121 16 208
857062103051644929 154 0
857029823797047296 3615 17536
